"Municipalidad","Alianza","Bancas","Colores","Ediles"
"San Isidro","PRO",2,"yellow","PRO (2)"
"San Isidro","LLA Disidente",2,"chocolate","LLA Disidente (2)"
"San Isidro","Vecinal",12,"black","Vecinal (12)"
"San Isidro","PRO PB",1,"darkgoldenrod","PRO PB (1)"
"San Miguel","UxP",8,"mediumaquamarine","UxP (8)"
"San Miguel","Juntos",12,"darkorange","Juntos (12)"
"San Miguel","LLA",2,"purple","LLA (2)"
"San Miguel","PRO",1,"yellow","PRO (1)"
"San Miguel","UxP Disidente",1,"navy","UxP Disidente (1)"
"San Nicolás","UxP",6,"mediumaquamarine","UxP (6)"
"San Nicolás","Juntos",11,"darkorange","Juntos (11)"
"San Nicolás","LLA",1,"purple","LLA (1)"
"San Nicolás","UCR DxS",1,"hotpink","UCR DxS (1)"
"San Nicolás","URyF",1,"steelblue","URyF (1)"
"San Pedro","UxP",9,"mediumaquamarine","UxP (9)"
"San Pedro","Juntos",1,"darkorange","Juntos (1)"
"San Pedro","LLA",1,"purple","LLA (1)"
"San Pedro","PRO",1,"yellow","PRO (1)"
"San Pedro","UCR",4,"red","UCR (4)"
"San Pedro","PRO PB",2,"darkgoldenrod","PRO PB (2)"
"San Vicente","UxP",11,"mediumaquamarine","UxP (11)"
"San Vicente","Juntos",3,"darkorange","Juntos (3)"
"San Vicente","LLA",2,"purple","LLA (2)"
"San Vicente","Juntos Disidente",2,"orangered","Juntos Disidente (2)"
"Suipacha","UxP",6,"mediumaquamarine","UxP (6)"
"Suipacha","Juntos",6,"darkorange","Juntos (6)"
"Tandil","UxP",6,"mediumaquamarine","UxP (6)"
"Tandil","UCR DxS",7,"hotpink","UCR DxS (7)"
"Tandil","PRO",1,"yellow","PRO (1)"
"Tandil","Vecinal",2,"black","Vecinal (2)"
"Tandil","Juntos Disidente",3,"orangered","Juntos Disidente (3)"
"Tandil","MID",1,"darkslategrey","MID (1)"
"Tapalqué","UxP",5,"mediumaquamarine","UxP (5)"
"Tapalqué","Juntos",5,"darkorange","Juntos (5)"
"Tigre","UxP",11,"mediumaquamarine","UxP (11)"
"Tigre","LLA",9,"purple","LLA (9)"
"Tigre","PRO",1,"yellow","PRO (1)"
"Tigre","URyF",1,"steelblue","URyF (1)"
"Tigre","Cambio Federal",2,"darkolivegreen","Cambio Federal (2)"
"Tordillo","UxP",4,"mediumaquamarine","UxP (4)"
"Tordillo","Juntos",2,"darkorange","Juntos (2)"
"Tornquist","UxP",5,"mediumaquamarine","UxP (5)"
"Tornquist","Juntos",5,"darkorange","Juntos (5)"
"Tornquist","LLA",1,"purple","LLA (1)"
"Tornquist","Vecinal",1,"black","Vecinal (1)"
"Trenque Lauquen","UxP",5,"mediumaquamarine","UxP (5)"
"Trenque Lauquen","Juntos",11,"darkorange","Juntos (11)"
"Trenque Lauquen","LLA",2,"purple","LLA (2)"
"Tres Arroyos","UxP",6,"mediumaquamarine","UxP (6)"
"Tres Arroyos","Juntos",7,"darkorange","Juntos (7)"
"Tres Arroyos","URyF",1,"steelblue","URyF (1)"
"Tres Arroyos","Vecinal",4,"black","Vecinal (4)"
"Tres de Febrero","UxP",9,"mediumaquamarine","UxP (9)"
"Tres de Febrero","LLA",13,"purple","LLA (13)"
"Tres de Febrero","UCR",1,"red","UCR (1)"
"Tres de Febrero","CC ARI",1,"tomato","CC ARI (1)"
"Tres Lomas","UxP",4,"mediumaquamarine","UxP (4)"
"Tres Lomas","Juntos",6,"darkorange","Juntos (6)"
"25 de mayo","UxP",7,"mediumaquamarine","UxP (7)"
"25 de mayo","Juntos",8,"darkorange","Juntos (8)"
"25 de mayo","LLA",1,"purple","LLA (1)"
"Vicente López","UxP",6,"mediumaquamarine","UxP (6)"
"Vicente López","Juntos",15,"darkorange","Juntos (15)"
"Vicente López","LLA",2,"purple","LLA (2)"
"Vicente López","LLA Disidente",1,"chocolate","LLA Disidente (1)"
"Villa Gesell","UxP",8,"mediumaquamarine","UxP (8)"
"Villa Gesell","Juntos",3,"darkorange","Juntos (3)"
"Villa Gesell","LLA",2,"purple","LLA (2)"
"Villa Gesell","PRO",1,"yellow","PRO (1)"
"Villa Gesell","LLA Disidente",1,"chocolate","LLA Disidente (1)"
"Villa Gesell","PRO Disidente",1,"limegreen","PRO Disidente (1)"
"Villarino","UxP",3,"mediumaquamarine","UxP (3)"
"Villarino","Juntos",6,"darkorange","Juntos (6)"
"Villarino","LLA",2,"purple","LLA (2)"
"Villarino","Vecinal",5,"black","Vecinal (5)"
"Zárate","UxP",5,"mediumaquamarine","UxP (5)"
"Zárate","Juntos",10,"darkorange","Juntos (10)"
"Zárate","LLA",2,"purple","LLA (2)"
"Zárate","UxP Disidente",3,"navy","UxP Disidente (3)"
"suma","UxP",946,"mediumaquamarine","UxP (946)"
"suma","Juntos",657,"darkorange","Juntos (657)"
"suma","LLA",177,"purple","LLA (177)"
"suma","UCR DxS",25,"hotpink","UCR DxS (25)"
"suma","PRO",64,"yellow","PRO (64)"
"suma","PS",2,"mistyrose","PS (2)"
"suma","UCR",85,"red","UCR (85)"
"suma","Peronismo no UxP",18,"dimgrey","Peronismo no UxP (18)"
"suma","URyF",17,"steelblue","URyF (17)"
"suma","LLA Disidente",29,"chocolate","LLA Disidente (29)"
"suma","Vecinal",99,"black","Vecinal (99)"
"suma","PRO PB",6,"darkgoldenrod","PRO PB (6)"
"suma","UCR Disidente",3,"darkred","UCR Disidente (3)"
"suma","GEN",1,"deeppink","GEN (1)"
"suma","UxP Disidente",23,"navy","UxP Disidente (23)"
"suma","FIT",10,"red3","FIT (10)"
"suma","Unión Liberal",1,"darkgreen","Unión Liberal (1)"
"suma","PRO Disidente",11,"limegreen","PRO Disidente (11)"
"suma","CC ARI",7,"tomato","CC ARI (7)"
"suma","Juntos Disidente",8,"orangered","Juntos Disidente (8)"
"suma","Cambio Federal",3,"darkolivegreen","Cambio Federal (3)"
"suma","SN",1,"khaki","SN (1)"
"suma","MID",1,"darkslategrey","MID (1)"
